"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 3","Dulse 2","14",2,-0.0435,0.3205
"Plate 3","Dulse 2","14",4,0.0253333333333333,0.263
"Plate 3","Dulse 2","14",6,0.0673333333333333,0.277
"Plate 3","Dulse 2","14",8,0.0826666666666667,0.247666666666667
"Plate 3","Dulse 2","14",10,0.0753333333333333,0.246333333333333
"Plate 3","Dulse 2","14",12,NA,0.2185
"Plate 3","Dulse 2","14",14,0.0760000000000001,0.254333333333333
"Plate 3","Dulse 2","14",16,0.093,0.240333333333333
"Plate 3","Dulse 2","15",2,0.00483333333333336,0.3205
"Plate 3","Dulse 2","15",4,-0.0293333333333334,0.263
"Plate 3","Dulse 2","15",6,-0.00733333333333336,0.277
"Plate 3","Dulse 2","15",8,-0.00533333333333336,0.247666666666667
"Plate 3","Dulse 2","15",10,0.0166666666666667,0.246333333333333
"Plate 3","Dulse 2","15",12,0.0771666666666667,0.2185
"Plate 3","Dulse 2","15",14,0.0503333333333333,0.254333333333333
"Plate 3","Dulse 2","15",16,0.0656666666666667,0.240333333333333
"Plate 3","Dulse 2","16",2,-0.0485,0.3205
"Plate 3","Dulse 2","16",4,-0.0253333333333333,0.263
"Plate 3","Dulse 2","16",6,0.0093333333333333,0.277
"Plate 3","Dulse 2","16",8,0.0306666666666666,0.247666666666667
"Plate 3","Dulse 2","16",10,0.054,0.246333333333333
"Plate 3","Dulse 2","16",12,0.0921666666666666,0.2185
"Plate 3","Dulse 2","16",14,0.0683333333333334,0.254333333333333
"Plate 3","Dulse 2","16",16,0.098,0.240333333333333
"Plate 3","Dulse 2","17",2,0.0148333333333333,0.3205
"Plate 3","Dulse 2","17",4,-0.005,0.263
"Plate 3","Dulse 2","17",6,0.0396666666666666,0.277
"Plate 3","Dulse 2","17",8,0.0203333333333333,0.247666666666667
"Plate 3","Dulse 2","17",10,0.0366666666666666,0.246333333333333
"Plate 3","Dulse 2","17",12,0.0991666666666667,0.2185
"Plate 3","Dulse 2","17",14,0.0796666666666667,0.254333333333333
"Plate 3","Dulse 2","17",16,0.076,0.240333333333333
"Plate 3","Dulse 2","18",2,0.0298333333333333,0.3205
"Plate 3","Dulse 2","18",4,0.035,0.263
"Plate 3","Dulse 2","18",6,0.049,0.277
"Plate 3","Dulse 2","18",8,0.068,0.247666666666667
"Plate 3","Dulse 2","18",10,0.0866666666666667,0.246333333333333
"Plate 3","Dulse 2","18",12,NA,0.2185
"Plate 3","Dulse 2","18",14,0.118666666666667,0.254333333333333
"Plate 3","Dulse 2","18",16,0.0826666666666667,0.240333333333333
"Plate 3","Dulse 2","19",2,-0.0598333333333333,0.3205
"Plate 3","Dulse 2","19",4,-0.0176666666666667,0.263
"Plate 3","Dulse 2","19",6,0.0186666666666667,0.277
"Plate 3","Dulse 2","19",8,0.0483333333333333,0.247666666666667
"Plate 3","Dulse 2","19",10,0.0773333333333333,0.246333333333333
"Plate 3","Dulse 2","19",12,0.130166666666667,0.2185
"Plate 3","Dulse 2","19",14,0.115333333333333,0.254333333333333
"Plate 3","Dulse 2","19",16,0.114333333333333,0.240333333333333
"Plate 3","Dulse 2","20",2,-0.032,0.3205
"Plate 3","Dulse 2","20",4,-0.034,0.263
"Plate 3","Dulse 2","20",6,-0.0243333333333334,0.277
"Plate 3","Dulse 2","20",8,-0.0293333333333334,0.247666666666667
"Plate 3","Dulse 2","20",10,-0.00866666666666668,0.246333333333333
"Plate 3","Dulse 2","20",12,0.0375,0.2185
"Plate 3","Dulse 2","20",14,0.031,0.254333333333333
"Plate 3","Dulse 2","20",16,0.05,0.240333333333333
"Plate 3","Dulse 2","6",2,-0.0595,0.3205
"Plate 3","Dulse 2","6",4,-0.0263333333333333,0.263
"Plate 3","Dulse 2","6",6,0.0336666666666666,0.277
"Plate 3","Dulse 2","6",8,0.028,0.247666666666667
"Plate 3","Dulse 2","6",10,0.0486666666666666,0.246333333333333
"Plate 3","Dulse 2","6",12,0.106166666666667,0.2185
"Plate 3","Dulse 2","6",14,0.0576666666666667,0.254333333333333
"Plate 3","Dulse 2","6",16,0.061,0.240333333333333
"Plate 3","Dulse 2","7",2,-0.0355,0.3205
"Plate 3","Dulse 2","7",4,0.0386666666666666,0.263
"Plate 3","Dulse 2","7",6,0.117,0.277
"Plate 3","Dulse 2","7",8,0.092,0.247666666666667
"Plate 3","Dulse 2","7",10,0.121666666666667,0.246333333333333
"Plate 3","Dulse 2","7",12,0.158166666666667,0.2185
"Plate 3","Dulse 2","7",14,0.115666666666667,0.254333333333333
"Plate 3","Dulse 2","7",16,0.126333333333333,0.240333333333333
"Plate 3","Dulse 2","8",2,-0.0131666666666667,0.3205
"Plate 3","Dulse 2","8",4,-0.057,0.263
"Plate 3","Dulse 2","8",6,-0.0183333333333334,0.277
"Plate 3","Dulse 2","8",8,-0.0243333333333333,0.247666666666667
"Plate 3","Dulse 2","8",10,-0.033,0.246333333333333
"Plate 3","Dulse 2","8",12,-0.00583333333333333,0.2185
"Plate 3","Dulse 2","8",14,-0.0333333333333333,0.254333333333333
"Plate 3","Dulse 2","8",16,0.0206666666666667,0.240333333333333
"Plate 3","Dulse 2","9",2,-0.0171666666666667,0.3205
"Plate 3","Dulse 2","9",4,-0.0356666666666667,0.263
"Plate 3","Dulse 2","9",6,0.0073333333333333,0.277
"Plate 3","Dulse 2","9",8,-0.000666666666666677,0.247666666666667
"Plate 3","Dulse 2","9",10,0.0333333333333333,0.246333333333333
"Plate 3","Dulse 2","9",12,0.0511666666666667,0.2185
"Plate 3","Dulse 2","9",14,0.0436666666666667,0.254333333333333
"Plate 3","Dulse 2","9",16,0.025,0.240333333333333
"Plate 4","Dulse 2","21",2,0.209666666666667,0.233
"Plate 4","Dulse 2","21",4,0.158333333333333,0.229
"Plate 4","Dulse 2","21",6,0.175666666666667,0.258333333333333
"Plate 4","Dulse 2","21",8,0.157,0.210666666666667
"Plate 4","Dulse 2","21",10,0.134,0.199666666666667
"Plate 4","Dulse 2","21",12,0.163333333333333,0.224333333333333
"Plate 4","Dulse 2","21",14,0.178333333333333,0.208
"Plate 4","Dulse 2","21",16,0.162666666666667,0.203666666666667
"Plate 4","Dulse 2","22",2,0.12,0.233
"Plate 4","Dulse 2","22",4,0.0533333333333333,0.229
"Plate 4","Dulse 2","22",6,0.055,0.258333333333333
