"plate","true_rep","isolate","time","value","Blank_Replicate"
"Plate 2","Dulse 1","17",16,0.133666666666667,0.107333333333333
"Plate 2","Dulse 1","18",2,0.00200000000000002,0.115666666666667
"Plate 2","Dulse 1","18",4,-0.0166666666666667,0.134
"Plate 2","Dulse 1","18",6,0.013,0.120333333333333
"Plate 2","Dulse 1","18",8,0.0533333333333333,0.0983333333333333
"Plate 2","Dulse 1","18",10,0.0716666666666667,0.092
"Plate 2","Dulse 1","18",12,0.092,0.0876666666666667
"Plate 2","Dulse 1","18",14,0.0896666666666667,0.105333333333333
"Plate 2","Dulse 1","18",16,0.117,0.107333333333333
"Plate 2","Dulse 1","19",2,0.0386666666666667,0.115666666666667
"Plate 2","Dulse 1","19",4,0.00733333333333333,0.134
"Plate 2","Dulse 1","19",6,0.0641666666666667,0.120333333333333
"Plate 2","Dulse 1","19",8,0.141,0.0983333333333333
"Plate 2","Dulse 1","19",10,0.151333333333333,0.092
"Plate 2","Dulse 1","19",12,0.158,0.0876666666666667
"Plate 2","Dulse 1","19",14,0.123333333333333,0.105333333333333
"Plate 2","Dulse 1","19",16,0.182,0.107333333333333
"Plate 2","Dulse 1","20",2,0.0203333333333334,0.115666666666667
"Plate 2","Dulse 1","20",4,0.023,0.134
"Plate 2","Dulse 1","20",6,0.0466666666666667,0.120333333333333
"Plate 2","Dulse 1","20",8,0.0586666666666667,0.0983333333333333
"Plate 2","Dulse 1","20",10,0.137333333333333,0.092
"Plate 2","Dulse 1","20",12,0.163333333333333,0.0876666666666667
"Plate 2","Dulse 1","20",14,0.171,0.105333333333333
"Plate 2","Dulse 1","20",16,0.175,0.107333333333333
"Plate 2","Dulse 1","21",2,0.00500000000000002,0.115666666666667
"Plate 2","Dulse 1","21",4,0.0116666666666667,0.134
"Plate 2","Dulse 1","21",6,0.048,0.120333333333333
"Plate 2","Dulse 1","21",8,0.0733333333333333,0.0983333333333333
"Plate 2","Dulse 1","21",10,0.103333333333333,0.092
"Plate 2","Dulse 1","21",12,0.144333333333333,0.0876666666666667
"Plate 2","Dulse 1","21",14,0.145666666666667,0.105333333333333
"Plate 2","Dulse 1","21",16,0.140333333333333,0.107333333333333
"Plate 2","Dulse 1","22",2,0.0173333333333334,0.115666666666667
"Plate 2","Dulse 1","22",4,0.0286666666666666,0.134
"Plate 2","Dulse 1","22",6,0.0863333333333333,0.120333333333333
"Plate 2","Dulse 1","22",8,0.100333333333333,0.0983333333333333
"Plate 2","Dulse 1","22",10,0.085,0.092
"Plate 2","Dulse 1","22",12,0.0843333333333333,0.0876666666666667
"Plate 2","Dulse 1","22",14,0.0796666666666667,0.105333333333333
"Plate 2","Dulse 1","22",16,0.08,0.107333333333333
"Plate 2","Dulse 1","23",2,0.00766666666666668,0.115666666666667
"Plate 2","Dulse 1","23",4,-0.00366666666666668,0.134
"Plate 2","Dulse 1","23",6,0.0406666666666667,0.120333333333333
"Plate 2","Dulse 1","23",8,0.0806666666666667,0.0983333333333333
"Plate 2","Dulse 1","23",10,0.078,0.092
"Plate 2","Dulse 1","23",12,0.110333333333333,0.0876666666666667
"Plate 2","Dulse 1","23",14,0.120666666666667,0.105333333333333
"Plate 2","Dulse 1","23",16,0.111,0.107333333333333
"Plate 2","Dulse 1","24",2,0.00400000000000002,0.115666666666667
"Plate 2","Dulse 1","24",4,0.019,0.134
"Plate 2","Dulse 1","24",6,0.044,0.120333333333333
"Plate 2","Dulse 1","24",8,0.078,0.0983333333333333
"Plate 2","Dulse 1","24",10,0.100666666666667,0.092
"Plate 2","Dulse 1","24",12,0.1,0.0876666666666667
"Plate 2","Dulse 1","24",14,0.0876666666666667,0.105333333333333
"Plate 2","Dulse 1","24",16,0.0736666666666667,0.107333333333333
"Plate 2","Dulse 2","1",2,0.031,0.106333333333333
"Plate 2","Dulse 2","1",4,0.0623333333333333,0.112
"Plate 2","Dulse 2","1",6,0.0653333333333333,0.101333333333333
"Plate 2","Dulse 2","1",8,0.142666666666667,0.0903333333333333
"Plate 2","Dulse 2","1",10,0.244333333333333,0.0893333333333333
"Plate 2","Dulse 2","1",12,0.263666666666667,0.0913333333333333
"Plate 2","Dulse 2","1",14,0.256666666666667,0.0996666666666667
"Plate 2","Dulse 2","1",16,0.238333333333333,0.102666666666667
"Plate 2","Dulse 2","2",2,0.0183333333333333,0.106333333333333
"Plate 2","Dulse 2","2",4,0.044,0.112
"Plate 2","Dulse 2","2",6,0.0716666666666667,0.101333333333333
"Plate 2","Dulse 2","2",8,0.104333333333333,0.0903333333333333
"Plate 2","Dulse 2","2",10,0.129666666666667,0.0893333333333333
"Plate 2","Dulse 2","2",12,0.162,0.0913333333333333
"Plate 2","Dulse 2","2",14,0.195333333333333,0.0996666666666667
"Plate 2","Dulse 2","2",16,0.197333333333333,0.102666666666667
"Plate 2","Dulse 2","3",2,0.01,0.106333333333333
"Plate 2","Dulse 2","3",4,0.0233333333333333,0.112
"Plate 2","Dulse 2","3",6,0.0323333333333334,0.101333333333333
"Plate 2","Dulse 2","3",8,0.0473333333333333,0.0903333333333333
"Plate 2","Dulse 2","3",10,0.115,0.0893333333333333
"Plate 2","Dulse 2","3",12,0.159333333333333,0.0913333333333333
"Plate 2","Dulse 2","3",14,0.272333333333333,0.0996666666666667
"Plate 2","Dulse 2","3",16,0.321666666666667,0.102666666666667
"Plate 2","Dulse 2","4",2,0.0296666666666667,0.106333333333333
"Plate 2","Dulse 2","4",4,0.064,0.112
"Plate 2","Dulse 2","4",6,0.101,0.101333333333333
"Plate 2","Dulse 2","4",8,0.112666666666667,0.0903333333333333
"Plate 2","Dulse 2","4",10,0.120666666666667,0.0893333333333333
"Plate 2","Dulse 2","4",12,0.131,0.0913333333333333
"Plate 2","Dulse 2","4",14,0.112,0.0996666666666667
"Plate 2","Dulse 2","4",16,0.115666666666667,0.102666666666667
"Plate 2","Dulse 2","5",2,0.0283333333333333,0.106333333333333
"Plate 2","Dulse 2","5",4,0.055,0.112
"Plate 2","Dulse 2","5",6,0.0903333333333333,0.101333333333333
"Plate 2","Dulse 2","5",8,0.116,0.0903333333333333
"Plate 2","Dulse 2","5",10,0.138333333333333,0.0893333333333333
"Plate 2","Dulse 2","5",12,0.153666666666667,0.0913333333333333
"Plate 2","Dulse 2","5",14,0.149,0.0996666666666667
"Plate 2","Dulse 2","5",16,0.155666666666667,0.102666666666667
"Plate 3","Dulse 2","10",2,0.0248333333333333,0.106666666666667
"Plate 3","Dulse 2","10",4,0.042,0.0906666666666667
"Plate 3","Dulse 2","10",6,0.0206666666666667,0.126
"Plate 3","Dulse 2","10",8,0.0856666666666667,0.094
"Plate 3","Dulse 2","10",10,0.146666666666667,0.0983333333333333
"Plate 3","Dulse 2","10",12,0.191333333333333,0.091
"Plate 3","Dulse 2","10",14,0.202666666666667,0.112666666666667
"Plate 3","Dulse 2","10",16,0.198666666666667,0.0916666666666667
"Plate 3","Dulse 2","11",2,0.0483333333333333,0.106666666666667
"Plate 3","Dulse 2","11",4,0.0656666666666667,0.0906666666666667
"Plate 3","Dulse 2","11",6,0.0576666666666667,0.126
"Plate 3","Dulse 2","11",8,0.0906666666666667,0.094
"Plate 3","Dulse 2","11",10,0.113,0.0983333333333333
"Plate 3","Dulse 2","11",12,0.112666666666667,0.091
"Plate 3","Dulse 2","11",14,0.075,0.112666666666667
"Plate 3","Dulse 2","11",16,0.0883333333333333,0.0916666666666667
"Plate 3","Dulse 2","12",2,0.0303333333333334,0.106666666666667
"Plate 3","Dulse 2","12",4,0.067,0.0906666666666667
"Plate 3","Dulse 2","12",6,0.0286666666666667,0.126
"Plate 3","Dulse 2","12",8,0.140666666666667,0.094
"Plate 3","Dulse 2","12",10,0.179666666666667,0.0983333333333333
"Plate 3","Dulse 2","12",12,0.204,0.091
"Plate 3","Dulse 2","12",14,0.212,0.112666666666667
"Plate 3","Dulse 2","12",16,0.189333333333333,0.0916666666666667
"Plate 3","Dulse 2","13",2,0.028,0.106666666666667
"Plate 3","Dulse 2","13",4,0.0436666666666667,0.0906666666666667
"Plate 3","Dulse 2","13",6,0.0276666666666667,0.126
"Plate 3","Dulse 2","13",8,0.0543333333333333,0.094
"Plate 3","Dulse 2","13",10,0.081,0.0983333333333333
"Plate 3","Dulse 2","13",12,0.08,0.091
"Plate 3","Dulse 2","13",14,0.0693333333333333,0.112666666666667
"Plate 3","Dulse 2","13",16,0.0916666666666667,0.0916666666666667
"Plate 3","Dulse 2","14",2,0.0353333333333333,0.106666666666667
"Plate 3","Dulse 2","14",4,0.0676666666666667,0.0906666666666667
"Plate 3","Dulse 2","14",6,0.0686666666666667,0.126
"Plate 3","Dulse 2","14",8,0.091,0.094
"Plate 3","Dulse 2","14",10,0.102333333333333,0.0983333333333333
"Plate 3","Dulse 2","14",12,0.0873333333333333,0.091
"Plate 3","Dulse 2","14",14,0.0543333333333333,0.112666666666667
"Plate 3","Dulse 2","14",16,0.0736666666666667,0.0916666666666667
"Plate 3","Dulse 2","15",2,0.0373333333333334,0.106666666666667
"Plate 3","Dulse 2","15",4,0.0316666666666667,0.0906666666666667
"Plate 3","Dulse 2","15",6,0.00966666666666666,0.126
"Plate 3","Dulse 2","15",8,0.0436666666666667,0.094
"Plate 3","Dulse 2","15",10,0.156,0.0983333333333333
"Plate 3","Dulse 2","15",12,0.193333333333333,0.091
